timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1713488667.8388972,157120.171875,144364.828125,234314.78125,218974.59375,146403.671875,160123.703125,133646.265625,142914.296875,0.0
1713488667.8413973,157134.46875,144363.484375,234311.03125,218982.546875,146403.21875,160124.0625,133652.796875,142927.4375,0.0
1713488667.843865,157159.5,144368.671875,234323.546875,219004.09375,146412.96875,160132.90625,133667.734375,142950.234375,0.0
1713488667.8463917,157151.28125,144371.890625,234321.21875,218995.078125,146415.5625,160136.84375,133672.5625,142951.75,0.0
1713488667.8489108,157134.46875,144376.453125,234312.0,218977.09375,146413.046875,160132.28125,133657.984375,142936.640625,0.0
1713488667.8513627,157141.890625,144377.53125,234309.234375,218982.109375,146411.53125,160125.21875,133649.40625,142937.359375,0.0
1713488667.8538823,157169.25,144383.6875,234322.375,219006.515625,146423.421875,160134.609375,133664.15625,142957.46875,0.0
1713488667.8610637,157169.34375,144383.328125,234318.625,219002.140625,146424.40625,160138.984375,133664.421875,142953.09375,0.0
1713488667.8610754,157142.96875,144376.359375,234298.5,218972.265625,146414.296875,160131.578125,133653.875,142930.734375,0.0
1713488667.86108,157142.15625,144373.40625,234288.9375,218966.734375,146412.0625,160127.09375,133654.671875,142931.28125,0.0
1713488667.8669467,157167.453125,144376.546875,234297.4375,218985.328125,146421.453125,160135.859375,133672.109375,142950.5,0.0
1713488667.8669567,157173.1875,144380.65625,234300.921875,218988.1875,146424.59375,160140.421875,133669.78125,142943.171875,0.0
1713488667.869532,157151.8125,144384.765625,234291.890625,218968.0625,146421.90625,160138.453125,133659.234375,142921.265625,0.0
1713488667.869609,157155.390625,144393.96875,234289.203125,218966.46875,146425.296875,160142.296875,133665.671875,142922.96875,0.0
1713488667.8713543,157184.09375,144399.25,234297.609375,218986.578125,146433.53125,160149.71875,133681.40625,142944.59375,0.0
1713488667.8763623,157192.140625,144394.15625,234293.328125,218985.765625,146430.125,160146.953125,133676.3125,142944.0625,0.0
1713488667.8788593,157168.625,144389.5,234274.28125,218956.53125,146418.421875,160138.640625,133655.03125,142920.1875,0.0
1713488667.8813348,157150.03125,144383.609375,234255.59375,218936.78125,146409.5625,160132.015625,133647.4375,142909.375,0.0
1713488667.88378,157162.8125,144379.21875,234254.34375,218949.828125,146412.6875,160134.875,133660.125,142927.515625,0.0
1713488667.8862765,157163.890625,144369.921875,234248.796875,218952.15625,146406.703125,160129.609375,133655.03125,142928.59375,0.0
1713488667.888765,157134.65625,144363.21875,234232.875,218931.859375,146395.0,160117.265625,133636.265625,142915.265625,0.0
1713488667.8919415,157118.375,144369.203125,234227.78125,218924.34375,146400.796875,160119.328125,133648.5,142927.875,0.0
1713488667.8919528,157141.265625,144377.96875,234238.0625,218948.484375,146412.34375,160128.265625,133662.984375,142950.046875,0.0
1713488667.8960776,157150.46875,144374.03125,234239.234375,218953.234375,146407.6875,160125.40625,133651.90625,142942.625,0.0
1713488667.8960876,157134.015625,144373.234375,234232.796875,218939.109375,146406.609375,160124.6875,133648.953125,142935.921875,0.0
1713488667.896093,157117.03125,144376.984375,234223.21875,218922.296875,146406.34375,160124.59375,133646.625,142926.8125,0.0
1713488667.898824,157133.21875,144386.375,234227.875,218929.796875,146412.515625,160133.71875,133651.015625,142927.875,0.0
1713488667.9013093,157155.296875,144396.296875,234242.71875,218951.53125,146427.09375,160149.359375,133667.109375,142942.1875,0.0
1713488667.903802,157148.6875,144400.859375,234242.09375,218945.265625,146430.671875,160156.15625,133672.296875,142939.328125,0.0
1713488667.9068935,157125.53125,144403.0,234230.734375,218924.53125,146429.5,160158.390625,133677.125,142930.5625,0.0
1713488667.9069085,157124.359375,144398.890625,234219.375,218919.796875,146423.15625,160152.84375,133673.359375,142927.96875,0.0
1713488667.9088204,157139.65625,144390.84375,234218.484375,218929.265625,146419.3125,160147.03125,133669.25,142933.515625,0.0
1713488667.9118156,157137.515625,144386.734375,234214.546875,218928.109375,146419.40625,160144.09375,133669.515625,142934.578125,0.0
1713488667.9118211,157124.546875,144395.21875,234210.4375,218917.46875,146426.203125,160149.8125,133674.53125,142931.28125,0.0
1713488667.9175436,157116.953125,144390.046875,234197.921875,218910.21875,146420.390625,160140.25,133664.59375,142925.828125,0.0
1713488667.920614,157141.796875,144393.703125,234208.390625,218929.890625,146427.984375,160141.671875,133666.921875,142938.421875,0.0
1713488667.9206295,157166.125,144405.515625,234221.609375,218942.953125,146440.859375,160153.03125,133674.875,142952.90625,0.0
1713488667.9225433,157166.65625,144412.484375,234217.765625,218930.25,146446.046875,160158.65625,133677.65625,142953.0,0.0
1713488667.9255977,157165.21875,144408.375,234203.921875,218918.890625,146437.453125,160151.6875,133670.234375,142940.84375,0.0
1713488667.9256036,157184.09375,144400.859375,234199.265625,218925.15625,146430.3125,160145.609375,133664.421875,142939.953125,0.0
1713488667.9274569,157188.296875,144393.34375,234192.734375,218922.734375,146424.046875,160140.953125,133661.203125,142941.015625,0.0
1713488667.9299483,157162.1875,144387.71875,234174.59375,218897.890625,146413.234375,160133.09375,133651.28125,142927.796875,0.0
1713488667.9330893,157145.109375,144379.046875,234150.71875,218875.0,146398.21875,160120.390625,133635.625,142911.34375,0.0
1713488667.9330976,157169.15625,144372.875,234146.15625,218886.703125,146396.6875,160118.15625,133640.453125,142923.9375,0.0
1713488667.9424727,157194.28125,144376.09375,234156.796875,218906.640625,146405.625,160126.390625,133651.90625,142938.609375,0.0
1713488667.9494295,157171.578125,144373.140625,234146.25,218885.015625,146400.625,160121.109375,133642.34375,142921.265625,0.0
1713488667.949441,157155.65625,144375.46875,234136.765625,218870.171875,146398.03125,160118.34375,133638.765625,142911.078125,0.0
1713488667.9518712,157166.65625,144375.375,234136.40625,218880.265625,146397.859375,160115.5625,133638.3125,142918.671875,0.0
1713488667.9518816,157181.3125,144379.671875,234145.703125,218897.4375,146410.375,160127.015625,133655.75,142942.453125,0.0
1713488667.960049,157170.046875,144384.40625,234142.484375,218888.5,146417.515625,160135.953125,133662.28125,142943.796875,0.0
1713488667.9707727,157148.953125,144385.484375,234129.078125,218867.484375,146412.875,160133.625,133652.4375,142926.71875,0.0
1713488667.970803,157158.515625,144388.25,234127.203125,218876.15625,146417.875,160137.921875,133661.921875,142937.984375,0.0
1713488667.9731483,157187.40625,144398.359375,234142.484375,218898.59375,146431.375,160150.96875,133679.265625,142959.703125,0.0
1713488667.9731724,157187.578125,144403.90625,234143.828125,218895.03125,146432.453125,160153.46875,133676.3125,142950.671875,0.0
1713488667.980148,157170.046875,144406.765625,234132.921875,218875.265625,146426.375,160146.328125,133662.09375,142930.921875,0.0
1713488667.9844568,157175.328125,144405.953125,234127.65625,218876.875,146424.140625,160142.296875,133662.90625,142932.96875,0.0
1713488667.9844675,157196.78125,144404.171875,234133.015625,218891.53125,146427.625,160144.171875,133671.484375,142944.15625,0.0
1713488667.9937863,157196.15625,144404.25,234130.25,218887.78125,146429.140625,160144.53125,133672.015625,142943.171875,0.0
1713488667.9968045,157166.828125,144396.203125,234107.625,218854.515625,146414.484375,160130.9375,133652.796875,142914.015625,0.0
1713488667.9968257,157158.78125,144388.515625,234092.609375,218844.6875,146402.5,160116.546875,133636.890625,142901.5,0.0
1713488668.0025208,157176.84375,144387.1875,234096.453125,218863.546875,146405.359375,160118.15625,133639.296875,142920.28125,0.0
1713488668.0050642,157173.0,144380.921875,234089.921875,218861.234375,146402.0625,160118.34375,133637.875,142922.6875,0.0
1713488668.0125437,157154.3125,144385.03125,234080.71875,218843.078125,146403.484375,160121.734375,133639.65625,142919.03125,0.0
1713488668.016902,157149.578125,144387.8125,234072.9375,218835.296875,146404.828125,160122.984375,133643.140625,142924.390625,0.0
