EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-10.475,-14.697,-18.851,-11.967,-14.837,-2.701,-6.165,0.778,0.025,0.967,0.263,-0.183,0.214,0.183,93.333,16409.000,1.000
-14.582,-11.958,-17.473,-11.615,-17.523,0.626,-2.105,0.085,0.027,0.966,0.265,-0.183,0.275,0.153,93.333,16410.000,1.000
-12.301,-4.920,-12.062,-8.113,-16.977,5.995,4.505,1.015,0.027,0.967,0.264,-0.122,0.336,0.092,93.333,16411.000,1.000
-7.525,-0.960,-10.081,-8.485,-11.921,6.687,6.477,-1.341,0.027,0.967,0.266,-0.061,0.427,0.061,93.333,16412.000,1.000
-7.606,-4.513,-15.045,-13.327,-8.698,-0.410,-0.310,-9.741,0.028,0.967,0.266,-0.031,0.397,-0.031,93.333,16413.000,1.000
-13.573,-9.836,-19.107,-14.287,-12.301,-6.832,-6.557,-17.458,0.026,0.967,0.267,0.000,0.458,-0.061,93.333,16414.000,1.000
-18.084,-10.695,-16.267,-9.822,-18.068,-6.270,-6.374,-19.725,0.026,0.969,0.266,0.092,0.549,-0.031,93.333,16415.000,1.000
-12.922,-8.438,-10.485,-7.634,-16.953,-4.682,-7.966,-21.279,0.026,0.971,0.269,0.031,0.671,-0.031,93.333,16416.000,1.000
0.820,-4.155,-3.404,-6.183,-8.354,-4.913,-11.558,-21.436,0.027,0.972,0.269,-0.122,0.549,0.092,93.333,16417.000,1.000
11.806,2.924,6.890,1.798,-2.256,-1.202,-7.061,-14.278,0.025,0.973,0.269,-0.122,0.580,0.092,93.333,16418.000,1.000
12.584,9.164,15.750,11.434,-5.449,6.129,3.629,-3.570,0.023,0.975,0.269,-0.153,0.519,0.183,93.333,16419.000,1.000
9.733,11.679,18.123,15.621,-12.079,9.847,9.354,3.210,0.021,0.973,0.270,0.000,0.580,0.153,93.333,16420.000,1.000
11.429,13.062,16.734,17.278,-15.250,8.366,7.550,6.262,0.021,0.973,0.266,-0.061,0.549,0.183,93.333,16421.000,1.000
13.372,14.475,15.075,17.805,-19.484,6.955,5.154,9.033,0.021,0.974,0.270,-0.061,0.427,0.122,93.333,16422.000,1.000
10.787,14.099,12.950,14.381,-28.445,9.354,7.978,13.174,0.021,0.974,0.270,-0.183,0.458,0.153,93.333,16423.000,1.000
11.754,12.317,9.807,9.443,-31.701,13.989,13.827,18.801,0.021,0.972,0.267,-0.092,0.397,0.153,93.333,16424.000,1.000
18.125,8.972,4.266,4.996,-25.298,16.236,15.758,22.930,0.019,0.974,0.264,-0.122,0.275,0.214,93.333,16425.000,1.000
12.209,0.616,-5.493,-2.479,-29.402,12.057,10.833,21.475,0.020,0.974,0.268,-0.061,0.275,0.305,93.333,16426.000,1.000
