EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
21.633,-2.184,-0.172,0.338,-5.684,-7.175,-11.649,-13.028,0.057,0.968,0.273,0.305,0.549,-0.183,93.333,88753.000,1.000
17.223,-12.815,-9.944,-9.813,-16.564,-20.035,-21.723,-23.566,0.058,0.970,0.274,0.336,0.610,-0.092,93.333,88754.000,1.000
8.910,-22.498,-17.967,-18.640,-25.309,-30.920,-28.310,-30.872,0.057,0.970,0.277,0.366,0.641,-0.092,93.333,88755.000,1.000
3.724,-26.459,-20.278,-21.971,-29.290,-36.667,-32.195,-34.213,0.056,0.970,0.277,0.305,0.702,0.031,93.333,88756.000,1.000
2.783,-24.973,-18.429,-21.542,-29.452,-38.254,-35.135,-36.182,0.055,0.971,0.276,0.275,0.702,0.061,93.333,88757.000,1.000
3.563,-20.523,-15.777,-19.335,-26.078,-35.783,-33.407,-35.447,0.056,0.971,0.274,0.305,0.702,0.061,93.333,88758.000,1.000
0.867,-16.885,-15.607,-17.025,-21.550,-31.121,-27.826,-31.945,0.056,0.970,0.273,0.183,0.732,0.122,93.333,88759.000,1.000
-7.973,-17.302,-19.009,-16.739,-20.037,-27.745,-25.264,-30.101,0.054,0.969,0.276,0.336,0.641,0.183,93.333,88760.000,1.000
-16.216,-20.411,-22.749,-17.389,-21.210,-25.322,-26.819,-31.061,0.052,0.971,0.276,0.214,0.641,0.305,93.333,88761.000,1.000
-15.830,-21.323,-22.889,-15.277,-20.464,-20.527,-25.786,-30.043,0.053,0.971,0.276,0.214,0.610,0.305,93.333,88762.000,1.000
-9.810,-16.504,-18.146,-8.530,-14.368,-11.365,-16.147,-22.198,0.052,0.970,0.277,0.305,0.519,0.397,93.333,88763.000,1.000
-8.822,-8.363,-11.017,-0.462,-5.454,-0.441,-0.789,-9.591,0.050,0.971,0.275,0.153,0.488,0.458,93.333,88764.000,1.000
-15.274,-3.134,-6.662,2.878,-0.530,6.478,9.611,-0.567,0.049,0.971,0.277,0.092,0.366,0.458,93.333,88765.000,1.000
-18.643,-1.666,-6.363,1.213,-0.715,8.459,10.601,1.880,0.050,0.972,0.273,0.000,0.305,0.549,93.333,88766.000,1.000
-13.412,-0.019,-6.085,0.055,0.063,9.746,10.466,4.700,0.051,0.971,0.274,-0.031,0.244,0.458,93.333,88767.000,1.000
-9.770,1.418,-3.672,1.547,4.123,11.048,16.204,12.703,0.053,0.969,0.277,-0.061,0.275,0.397,93.333,88768.000,1.000
-15.395,0.191,-1.057,2.881,7.040,9.539,22.488,20.293,0.053,0.970,0.274,-0.031,0.153,0.427,93.333,88769.000,1.000
-21.623,-2.096,-0.315,1.434,5.204,4.679,19.970,19.574,0.052,0.971,0.277,-0.061,0.092,0.427,93.333,88770.000,1.000
-19.137,-2.805,-0.564,-2.263,0.607,-1.099,9.017,11.998,0.054,0.970,0.272,-0.183,0.092,0.488,93.333,88771.000,1.000
-13.685,-1.785,0.870,-5.360,-2.072,-4.646,-0.048,6.044,0.054,0.969,0.275,-0.183,-0.031,0.519,93.333,88772.000,1.000
-14.561,-0.907,3.039,-6.923,-2.464,-5.779,-1.377,3.960,0.054,0.967,0.277,-0.092,0.000,0.488,93.333,88773.000,1.000
-18.322,-1.277,2.490,-8.248,-4.022,-7.380,-0.870,0.248,0.053,0.967,0.274,-0.061,0.061,0.519,93.333,88774.000,1.000
-17.437,-0.876,1.012,-8.251,-5.935,-9.228,-4.110,-6.183,0.054,0.966,0.275,-0.305,0.031,0.488,93.333,88775.000,1.000
-17.494,1.250,2.065,-6.071,-4.981,-8.438,-8.144,-10.711,0.056,0.969,0.275,-0.214,0.122,0.549,93.333,88776.000,1.000
-27.890,0.970,1.220,-7.000,-5.002,-7.340,-12.342,-14.696,0.055,0.966,0.275,-0.092,0.061,0.427,93.333,88777.000,1.000
