timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1713489601.4446073,134984.34375,131355.484375,172384.171875,192235.296875,129345.171875,141999.203125,123511.0078125,120419.3125,0.0
1713489601.4446135,135025.375,131454.90625,172375.234375,192406.15625,129651.296875,142078.25,123603.3671875,120485.3828125,0.0
1713489601.4470744,135035.296875,131521.34375,172347.96875,192468.5625,129808.296875,142124.296875,123651.734375,120505.234375,0.0
1713489601.449608,134998.546875,131447.484375,172347.25,192305.484375,129555.453125,142072.25,123581.28125,120447.296875,0.0
1713489601.4526503,134983.71875,131353.703125,172379.4375,192201.59375,129320.3125,142004.21875,123514.671875,120416.9921875,0.0
1713489601.4526594,135026.09375,131434.875,172372.453125,192368.78125,129606.2421875,142059.46875,123584.0546875,120474.5703125,0.0
1713489601.4545815,135047.8125,131514.359375,172353.0625,192458.28125,129796.671875,142114.453125,123642.34375,120506.3984375,0.0
1713489601.4571583,135019.390625,131478.15625,172345.546875,192339.0,129631.984375,142082.71875,123590.84375,120460.6171875,0.0
1713489601.4596455,134980.9375,131356.5625,172367.8125,192170.734375,129302.96875,141993.046875,123490.7109375,120399.46875,0.0
1713489601.462141,135021.984375,131431.484375,172368.4375,192324.796875,129561.359375,142055.984375,123573.1484375,120462.140625,0.0
1713489601.4646537,135051.125,131520.4375,172353.859375,192438.34375,129787.2890625,142125.71875,123652.5390625,120508.9921875,0.0
1713489601.4671252,135033.25,131508.375,172340.1875,192364.390625,129704.6796875,142105.875,123615.2578125,120475.375,0.0
1713489601.4696028,134982.015625,131365.5,172359.3125,192155.8125,129316.46875,141997.875,123489.1953125,120397.859375,0.0
1713489601.4727223,135015.0,131411.71875,172367.1875,192279.90625,129509.5,142042.578125,123553.4765625,120453.46875,0.0
1713489601.472742,135042.0,131496.578125,172344.46875,192405.078125,129753.40625,142108.203125,123629.7421875,120499.15625,0.0
1713489601.474629,135031.28125,131512.65625,172324.265625,192373.78125,129751.078125,142118.203125,123634.5703125,120487.796875,0.0
1713489601.4776545,134981.390625,131374.984375,172345.734375,192155.359375,129356.4375,142022.09375,123529.421875,120419.40625,0.0
1713489601.4776676,135000.78125,131383.03125,172353.765625,192223.9375,129448.078125,142023.53125,123539.4375,120440.859375,0.0
1713489601.489052,135037.625,131479.9375,172338.21875,192366.8125,129719.0703125,142098.359375,123615.2578125,120487.171875,0.0
1713489601.4890804,135045.578125,131529.734375,172324.453125,192383.984375,129791.9375,142134.578125,123645.296875,120495.9375,0.0
1713489601.4965124,135004.71875,131415.03125,172350.109375,192179.0625,129424.4765625,142054.90625,123548.9140625,120434.15625,0.0
1713489601.496525,135005.796875,131384.09375,172363.515625,192191.390625,129405.5234375,142027.46875,123527.3671875,120437.28125,0.0
1713489601.50396,135034.9375,131471.71875,172341.875,192342.84375,129692.78125,142095.046875,123612.0390625,120491.8203125,0.0
1713489601.5039775,135046.109375,131528.9375,172320.6875,192385.140625,129811.25,142131.53125,123645.2109375,120503.984375,0.0
1713489601.5063388,134999.09375,131424.15625,172327.75,192186.828125,129483.390625,142054.640625,123552.578125,120436.3046875,0.0
1713489601.5063508,134993.28125,131369.171875,172355.109375,192141.859375,129359.03125,142010.921875,123513.15625,120425.484375,0.0
1713489601.515896,135028.5,131460.265625,172337.234375,192299.484375,129651.65625,142075.109375,123589.8671875,120477.15625,0.0
1713489601.541482,135053.8125,131538.859375,172322.921875,192374.671875,129818.7578125,142135.015625,123651.9140625,120505.5,0.0
1713489601.541505,135019.109375,131467.25,172323.734375,192217.234375,129567.796875,142083.4375,123583.0703125,120449.625,0.0
1713489601.5671892,134988.265625,131367.90625,172344.46875,192104.578125,129329.2578125,142015.484375,123519.234375,120414.7578125,0.0
1713489601.5952508,135023.234375,131449.0,172333.203125,192265.875,129616.7890625,142078.515625,123601.84375,120474.7421875,0.0
1713489601.59527,135045.046875,131525.359375,172311.65625,192353.484375,129806.5078125,142133.59375,123659.8671875,120503.4453125,0.0
1713489601.5952833,135017.859375,131480.5625,172302.8125,192234.671875,129636.9921875,142093.890625,123595.8515625,120453.5546875,0.0
1713489601.595291,134979.15625,131356.921875,172329.640625,192070.875,129311.015625,142002.421875,123493.9296875,120396.78125,0.0
1713489601.6195426,135025.46875,131438.015625,172340.546875,192231.359375,129575.75,142069.125,123583.4296875,120468.7578125,0.0
1713489601.6195552,135053.8125,131524.90625,172321.765625,192339.28125,129794.6171875,142132.875,123650.6640625,120506.9296875,0.0
1713489601.6195612,135026.8125,131504.34375,172294.9375,192255.859375,129703.421875,142110.25,123612.484375,120469.0234375,0.0
1713489601.6332989,134972.984375,131360.140625,172310.40625,192049.6875,129318.078125,142005.5625,123497.7734375,120398.125,0.0
1713489601.6358707,135002.390625,131405.375,172317.5625,192171.453125,129507.7109375,142043.375,123553.3828125,120448.3671875,0.0
1713489601.6384048,135034.140625,131499.515625,172302.984375,192306.1875,129764.6640625,142117.578125,123639.125,120502.1953125,0.0
1713489601.6409092,135037.0,131524.375,172294.5,192284.734375,129768.421875,142133.859375,123646.4609375,120496.0234375,0.0
1713489601.6433754,134989.515625,131389.1875,172317.03125,192068.90625,129377.359375,142036.484375,123543.375,120425.84375,0.0
1713489601.6459165,135005.890625,131396.34375,172325.609375,192134.53125,129465.0625,142037.75,123563.1328125,120450.25,0.0
1713489601.6484437,135044.59375,131492.90625,172309.609375,192280.625,129739.2734375,142103.015625,123632.0625,120498.53125,0.0
1713489601.6508696,135044.421875,131527.78125,172283.765625,192283.484375,129789.4375,142119.546875,123634.296875,120488.15625,0.0
1713489601.6533897,134983.265625,131390.71875,172284.9375,192058.53125,129400.3359375,142019.421875,123517.7109375,120403.21875,0.0
1713489601.6558032,134987.734375,131366.390625,172301.921875,192071.953125,129388.625,142009.578125,123518.0703125,120414.484375,0.0
1713489601.658383,135025.640625,131461.25,172289.21875,192233.0625,129685.8125,142089.0625,123610.7890625,120478.765625,0.0
1713489601.6608756,135036.734375,131519.8125,172270.453125,192278.203125,129804.3671875,142128.671875,123646.7265625,120494.59375,0.0
1713489601.6633968,134993.28125,131419.40625,172280.28125,192084.828125,129479.546875,142053.03125,123554.3671875,120428.8828125,0.0
1713489601.6658833,134989.34375,131363.796875,172308.984375,192044.3125,129358.8515625,142009.140625,123521.375,120425.2109375,0.0
1713489601.6683557,135032.96875,131460.09375,172301.65625,192214.640625,129661.046875,142081.46875,123607.296875,120487.796875,0.0
1713489601.6708949,135040.03125,131520.171875,172270.890625,192271.0625,129809.640625,142121.609375,123647.53125,120499.0625,0.0
1713489601.673323,134992.828125,131439.34375,172258.28125,192103.5,129551.7890625,142062.234375,123567.2421875,120433.0859375,0.0
1713489601.67583,134966.640625,131341.71875,172279.75,191990.765625,129314.1484375,141992.6875,123494.375,120397.859375,0.0
1713489601.6783164,135013.75,131431.84375,172280.375,192160.90625,129609.0078125,142066.171875,123588.609375,120469.0234375,0.0
1713489601.680816,135033.78125,131505.78125,172259.0,192248.53125,129796.9453125,142118.296875,123641.71875,120495.84375,0.0
1713489601.6833296,135008.484375,131468.140625,172254.703125,192136.40625,129635.7421875,142089.515625,123598.265625,120456.953125,0.0
1713489601.68643,134978.34375,131352.71875,172286.546875,191981.015625,129319.6015625,142009.40625,123516.375,120410.640625,0.0
1713489601.686448,135007.3125,131412.890625,172275.8125,192118.34375,129560.015625,142050.34375,123574.3984375,120456.0625,0.0
1713489601.6889112,135012.859375,131476.625,172236.109375,192205.609375,129756.4453125,142087.1875,123611.9453125,120471.9765625,0.0
1713489601.6889212,135006.328125,131478.15625,172229.234375,192143.921875,129688.046875,142091.65625,123606.2265625,120456.953125,0.0
1713489601.6927228,134965.65625,131347.171875,172254.53125,191949.734375,129314.0546875,142000.640625,123502.6953125,120394.4609375,0.0
1713489601.6927357,135004.625,131399.921875,172265.625,192074.265625,129504.4921875,142041.671875,123554.28125,120442.6484375,0.0
1713489601.6927416,135037.265625,131491.203125,172250.859375,192200.328125,129750.71875,142111.234375,123633.140625,120489.9453125,0.0
1713489601.6927478,135031.09375,131510.875,172236.65625,192174.765625,129753.9375,142121.96875,123632.3359375,120476.4453125,0.0
1713489601.6982863,134982.640625,131373.8125,172257.65625,191958.484375,129357.6015625,142020.046875,123513.6015625,120398.8359375,0.0
1713489601.6982992,135005.078125,131387.3125,172270.984375,192034.390625,129456.75,142032.015625,123545.3359375,120433.2578125,0.0
1713489601.6983051,135039.953125,131481.734375,172256.59375,192178.34375,129729.265625,142105.609375,123628.3125,120489.765625,0.0
1713489601.7014556,135037.890625,131517.765625,172231.828125,192183.171875,129789.2578125,142124.109375,123639.9296875,120486.1015625,0.0
1713489601.7014682,134980.5,131384.546875,172237.984375,191961.890625,129407.7578125,142020.84375,123523.5234375,120409.2109375,0.0
1713489601.7039201,134983.0,131357.28125,172249.25,191976.109375,129395.4140625,142004.75,123524.6875,120422.3515625,0.0
1713489601.7039328,135024.390625,131454.8125,172234.953125,192136.3125,129686.171875,142080.5625,123612.21875,120482.8828125,0.0
1713489601.7058597,135038.609375,131514.453125,172216.71875,192181.5625,129801.328125,142114.0,123637.609375,120494.0546875,0.0
1713489601.7083712,134985.953125,131406.71875,172217.875,191978.421875,129469.7109375,142032.203125,123539.2578125,120417.6171875,0.0
1713489601.710894,134980.5,131352.359375,172247.296875,191935.59375,129351.7890625,141996.265625,123514.2265625,120412.609375,0.0
1713489601.7171583,135026.0,131449.625,172241.125,192105.109375,129654.4296875,142073.0625,123602.2890625,120474.03125,0.0
1713489601.7214377,135033.25,131509.265625,172210.71875,192162.96875,129798.9140625,142109.359375,123631.703125,120479.3984375,0.0
1713489601.721454,134993.71875,131433.53125,172206.4375,191999.34375,129543.921875,142050.796875,123559.5546875,120420.8359375,0.0
1713489601.7289207,134969.5,131336.890625,172228.78125,191888.9375,129309.9453125,141986.953125,123500.4609375,120390.6171875,0.0
1713489601.7289424,135011.96875,131425.046875,172223.59375,192055.3125,129602.0390625,142059.5625,123586.46875,120456.5078125,0.0
1713489601.7346113,135036.546875,131507.203125,172207.953125,192149.8125,129796.2265625,142118.484375,123646.8125,120492.8984375,0.0
1713489601.738907,134998.828125,131456.421875,172189.0,192023.40625,129620.0078125,142070.46875,123582.7109375,120439.34375,0.0
1713489601.738927,134959.75,131337.875,172214.75,191860.765625,129299.75,141986.25,123494.734375,120388.9140625,0.0
1713489601.7420716,135004.1875,131416.8125,172223.15625,192017.234375,129557.9609375,142048.375,123570.375,120452.5703125,0.0
